avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_95.0,perc_0.0,perc_99.9,perc_90.0,perc_100.0,perc_99.0,perc_50.0,rc_200,label
0,0.78228,1.21047,11542014,2,0,0.54346,102,102,1.99500,0.28300,2.11000,1.93600,2.11000,2.05800,1.24500,102,
0,0.80473,1.37393,4639437,1,0,0.42295,41,41,1.95900,0.30000,2.05800,1.93600,2.05800,2.05800,1.30500,41,home
0,0.67703,0.92367,3734181,3,0,0.38591,33,33,1.64400,0.36300,1.81300,1.52600,1.81300,1.81300,0.94000,33,Process
0,0.87346,1.30914,3168396,2,0,0.66818,28,28,2.05800,0.28300,2.11000,2.01900,2.11000,2.11000,1.71800,28,Portfolio
